# (c) Der Bundeswahlleiter, Wiesbaden 2017
# 
# Wahl zum 19. Deutschen Bundestag (24. September 2017)
# Endgültige Ergebnisse der Erst- und Zweitstimmen sowie der Vorperiode nach Wahlkreisen
# 
Nr;Gebiet;gehört zu;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;Christlich Demokratische Union Deutschlands;;;;Sozialdemokratische Partei Deutschlands;;;;DIE LINKE;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Christlich-Soziale Union in Bayern e.V.;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Piratenpartei Deutschland;;;;Nationaldemokratische Partei Deutschlands;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Ökologisch-Demokratische Partei;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Bayernpartei;;;;Ab jetzt...Demokratie durch Volksabstimmung;;;;Partei der Vernunft;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Bürgerrechtsbewegung Solidarität;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;DIE RECHTE;;;;Allianz Deutscher Demokraten;;;;Allianz für Menschenrechte, Tier- und Naturschutz;;;;bergpartei, die überpartei;;;;Bündnis Grundeinkommen;;;;DEMOKRATIE IN BEWEGUNG;;;;Deutsche Kommunistische Partei;;;;Deutsche Mitte;;;;Die Grauen – Für alle Generationen;;;;Die Urbane. Eine HipHop Partei;;;;Magdeburger Gartenpartei;;;;Menschliche Welt;;;;Partei der Humanisten;;;;Partei für Gesundheitsforschung;;;;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;;;;Bündnis C - Christen für Deutschland;;;;DIE EINHEIT;;;;Die Violetten;;;;Familien-Partei Deutschlands;;;;Feministische Partei DIE FRAUEN;;;;Mieterpartei;;;;Neue Liberale – Die Sozialliberalen;;;;UNABHÄNGIGE für bürgernahe Demokratie;;;;Übrige;;;;
10;Herzogtum Lauenburg – Stormarn-Süd;1;244930;241257;244930;241257;193334;182982;193334;182982;1569;1708;1363;1560;191765;181274;191971;181422;75737;81954;66031;73603;52171;62749;42815;53944;9785;6834;12480;8962;18688;12774;20826;16579;;;;;15775;3901;26163;10878;17435;8351;18792;10210;;2908;;3031;;1356;492;1377;2174;;1264;776;;;;1385;;;422;;;;2110;;;;;;;;;;;;;;;;51;43;;;;;;;;;;;;;;;;;;;;;;;;;;;525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;447;;634;
11;Lübeck;1;181638;181923;181638;181923;130961;124711;130961;124711;2228;1563;1167;1440;128733;123148;129794;123271;45432;44896;38263;42218;43578;50119;32919;42083;;6662;12213;7970;16785;9475;16568;13638;;;;;8312;2958;14097;5857;11137;4152;11539;5323;;2825;;2994;;948;351;974;2535;1113;1091;781;;;;918;;;266;;;;1850;;;;;;;;;;;;;;954;;162;93;;;;;;;;;;;;;;;;;;;;;;;;;;;475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;422;
1;Schleswig-Holstein;99;2266012;2251796;2266012;2251796;1729194;1645750;1729194;1645750;16172;18752;13553;17460;1713022;1626998;1715641;1628290;682287;708702;583135;638756;493279;596882;399505;513725;90574;66183;124678;84177;163580;111921;205471;153137;;;;;131703;37526;216844;91714;128641;58681;140362;74346;;31621;;32217;;11031;4210;11229;15957;2678;11095;8747;;;;12878;;;3116;;4017;;20732;;;;;;;;;;;;;;1381;;823;521;;;;;;;;;;;;;;;;;;;;;;;;;;;5670;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;506;;;;;;;;;;;;342;;;;;;;;755;1773;;6843;
;
12;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;13;216800;219903;216800;219903;157071;148470;157071;148470;1969;2505;1660;2133;155102;145965;155411;146337;49733;56912;51083;59028;34267;37832;28947;31543;26655;32373;25929;29838;5837;5194;6606;6526;;;;;7470;2253;9879;3298;24764;;25692;7729;;3335;;2576;1515;4923;1700;3918;3874;2917;1625;1396;;;1793;;;;147;;;;1363;;;;;;;;;;;;;;440;;231;164;;;;;;;;;;;;;;;;;;;;;;;;;;;416;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;547;226;;321;
13;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;13;205876;209239;205876;209239;146768;137315;146768;137315;1930;2360;1657;1988;144838;134955;145111;135327;43453;57971;48841;56975;34705;30743;25029;26664;23433;30843;24409;28834;5858;4652;5521;5460;;;;;8290;2127;9008;3011;25262;;25688;7145;;2969;;2131;1264;4249;1642;3469;2573;1401;1216;1108;;;1807;;;;213;;;;1188;;;;;;;;;;;;;;;;194;153;;;;;;;;;;;;;;;;;;;;;;;;;;;355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;377;
14;Rostock – Landkreis Rostock II;13;222913;223885;222913;223885;164016;152820;164016;152820;1777;2669;1694;2046;162239;150151;162322;150774;47923;52661;49433;57188;29056;27498;25650;29010;40202;46160;33575;35792;8333;11216;10229;9874;;;;;7368;1606;10661;2911;23785;;25171;8196;;3263;;3588;;3308;907;2484;1453;1385;955;1109;;;2008;;591;;349;;3132;;2517;;;;;;;;;;;;;;396;545;303;292;;;;;;;;;;;;;;;;;;;;;;;;;;;564;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2509;;330;
15;Vorpommern-Rügen – Vorpommern-Greifswald I;13;240887;244880;240887;244880;169528;157402;169528;157402;1866;2467;2116;2426;167662;154935;167412;154976;73746;87142;55110;69683;19515;21688;20405;22630;26650;29847;30107;31930;5081;4728;8498;7372;;;;;5229;1227;11490;4067;32173;;32881;10159;;3738;;3527;976;3970;1368;3525;1576;1205;1232;1466;2161;;3319;;;;194;;;;1867;;;;;;;;;;;;;;407;;249;161;;;;;;;;;;;;;;;;;;;;;;;;;;;692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;148;1390;;456;
16;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;13;226039;234110;226039;234110;156965;148874;156965;148874;2337;2778;2152;2514;154628;146096;154813;146360;48269;67069;51789;65767;21493;22870;19064;21603;29462;34972;27246;31658;3898;3359;4068;4010;;;;;8909;2695;8659;2910;36273;;35595;8850;;3825;;2629;2834;8525;3148;6755;1991;2781;1092;1523;;;1954;;;;141;;1499;;1340;;;;;;;;;;;;;;;;169;163;;;;;;;;;;;;;;;;;;;;;;;;;;;548;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;492;
17;Mecklenburgische Seenplatte II – Landkreis Rostock III;13;212099;218688;212099;218688;144239;136837;144239;136837;1863;3195;1798;2868;142376;133642;142441;133969;53538;62852;51007;60407;22401;25029;20594;22981;24728;30284;24102;28819;4739;4083;4592;4474;;;;;6633;1983;8198;2771;26199;;27382;6806;;2653;;2112;1388;4243;1643;3584;2327;2024;1423;1402;;;1626;;;;161;;;;1034;;;;;;;;;;;;;;423;491;220;233;;;;;;;;;;;;;;;;;;;;;;;;;;;459;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;380;
13;Mecklenburg-Vorpommern;99;1324614;1350705;1324614;1350705;938587;881718;938587;881718;11742;15974;11077;13975;926845;865744;927510;867743;316662;384607;307263;369048;161437;165660;139689;154431;171130;204479;165368;186871;33746;33232;39514;37716;;;;;43899;11891;57895;18968;168456;;172409;48885;;19783;;16563;7977;29218;10408;23735;13794;11713;7543;8004;2161;;12507;;591;;1205;;4631;;9309;;;;;;;;;;;;;;1666;1036;1366;1166;;;;;;;;;;;;;;;;;;;;;;;;;;;3034;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;695;4125;;2356;
;
18;Hamburg-Mitte;2;243543;240554;243543;240554;175731;156683;175731;156683;1716;2306;1438;2114;174015;154377;174293;154569;42149;43120;40909;41422;53795;60537;41551;51971;24083;14821;26109;17071;22368;18529;25164;21043;;;;;11202;2640;16255;5940;12728;5135;13940;6707;;5353;;5989;316;1185;348;1189;1038;648;744;557;;;1817;;1090;;613;389;4929;1652;3945;1459;;;;;;;;;;;;;317;;181;87;;;;;;;;;;;;;;;;;;;;;;;;;;;1105;;;;976;;;;113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;523;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;757;;745;
19;Hamburg-Altona;2;185944;182776;185944;182776;146090;135857;146090;135857;1161;1454;864;1393;144929;134403;145226;134464;37575;43609;36139;39581;41947;46918;29680;40009;19704;13759;22766;14525;20817;18380;26036;22167;;;;;12482;2627;16306;7353;7425;3094;8028;4321;;3005;;3630;;515;150;528;490;497;341;384;;;1093;;;;284;334;3471;1359;2374;1089;;;;;;;;;;;;;256;135;149;123;;;;;;;;;;;;;;;;;;;;;;;;;;;787;;;;722;;;;87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;762;505;;420;
20;Hamburg-Eimsbüttel;2;192399;189772;192399;189772;156013;143084;156013;143084;1283;1646;810;1444;154730;141438;155203;141640;44416;47112;41826;43989;48920;53105;34575;44492;16123;9728;19290;12137;23220;18399;26372;22074;;;;;10537;3264;17463;7308;8777;4034;9138;5197;;3352;;3751;;548;184;551;;427;327;397;;;1262;;983;;442;293;;;2427;870;;;;;;;;;;;;;297;;126;56;;;;;;;;;;;;;;;;;;;;;;;;;;;605;;;;738;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;336;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1457;1469;;525;
21;Hamburg-Nord;2;217226;211824;217226;211824;178760;163950;178760;163950;1397;1666;886;1512;177363;162284;177874;162438;59441;64459;55737;59244;54695;56421;38150;49039;13277;7626;16720;10615;24065;19343;25584;20357;;;;;14911;3921;24652;10242;9701;5708;10963;6721;;3559;;3638;;610;180;588;1273;637;556;392;;;1245;;;;340;297;;;2042;681;;;;;;;;;;;;;;;63;39;;;;;;;;;;;;;;;;;;;;;;;;;;;579;;;;630;;;;72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;361;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;585;
22;Hamburg-Wandsbek;2;235513;235105;235513;235105;172574;158935;172574;158935;1707;2099;1273;1933;170867;156836;171301;157002;50822;57635;49482;54166;59086;62489;45542;54089;15673;10466;16847;12131;12112;10734;17773;14269;;;;;12007;3021;17621;7074;16208;6416;16732;7572;;3708;;3890;399;1434;425;1404;1534;789;807;592;;;1835;;;;436;257;3026;86;2096;678;;;;;;;;;;;;;;;65;42;;;;;;;;;;;;;;;;;;;;;;;;;;;689;;;;557;;;;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58;;838;
23;Hamburg-Bergedorf – Harburg;2;222031;221887;222031;221887;155758;142704;155758;142704;1990;2089;1537;1988;153768;140615;154221;140716;43274;50044;42219;47525;53446;56867;40364;49302;16382;10595;17344;11817;11903;9088;15442;12916;;;;;8039;2234;13313;4952;16688;5448;17710;6624;;3198;;3607;530;1446;512;1398;1091;727;683;534;;;1561;;1296;637;663;393;;;2504;866;;;;;;;;;;;;;253;;104;76;;;;;;;;;;;;;;;;;;;;;;;;;;;808;;;;576;;;;86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;866;331;;706;
2;Hamburg;99;1296656;1281918;1296656;1281918;984926;901213;984926;901213;9254;11260;6808;10384;975672;889953;978118;890829;277677;305979;266312;285927;311889;336337;229862;288902;105242;66995;119076;78296;114485;94473;136371;112826;;;;;69178;17707;105610;42869;71527;29835;76511;37142;;22175;;24505;1245;5738;1799;5658;5426;3725;3458;2856;;;8813;;3369;637;2778;1963;11426;3097;15388;5643;;;;;;;;;;;;;1123;135;688;423;;;;;;;;;;;;;;;;;;;;;;;;;;;4573;;;;4199;;;;511;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3085;3120;;3819;
;
24;Aurich – Emden;3;191541;190987;191541;190987;142676;134256;142676;134256;3092;2217;1605;1724;139584;132039;141071;132532;38531;42737;39552;43026;69231;66348;53353;58080;9403;6373;10142;6588;9787;12627;10503;11028;;;;;6882;2085;10079;4323;;;12877;4136;2304;;568;1900;;;357;1259;3326;1869;760;713;;;1162;1065;;;77;;;;961;;;;;;;;;;;;;;;;35;35;;;;;;;;;;;;;;;;;;;;;;;;;;;191;;;;123;;;;35;;;;136;;;;;;;;;;;;;;;;;;;;;;;;;;;;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120;;;379;
25;Unterems;3;235234;232784;235234;232784;176342;166959;176342;166959;1553;2096;1390;1645;174789;164863;174952;165314;87406;90236;74173;80616;48959;51409;48194;51079;7726;6426;9459;6771;8255;8441;10258;9506;;;;;7758;4288;13629;6537;13387;;14620;4870;;;491;2218;;1656;421;1339;;1820;413;747;;;1185;1070;;;127;;1298;;1359;;;;;;;;;;;;;;;;30;24;;;;;;;;;;;;;;;;;;;;;;;;;;;159;;;;147;;;;21;;;;144;;;;;;;;;;;;;;;;;;;;;;;;;;;;122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;587;;537;
26;Friesland – Wilhelmshaven – Wittmund;3;189344;190034;189344;190034;139153;134162;139153;134162;1810;2369;1557;1760;137343;131793;137596;132402;44537;52275;45098;50796;54504;58178;42207;48011;8127;6736;9738;6814;7542;7362;9984;9731;;;;;8074;3024;12958;5670;11392;;12490;5479;;;377;2007;;1680;389;1206;1236;2538;880;1106;;;1423;1194;;;90;;1749;;1216;;;;;;;;;;;;;;182;;93;70;;;;;;;;;;;;;;;;;;;;;;;;;;;175;;;;121;;;;30;;;;177;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;318;
27;Oldenburg – Ammerland;3;226253;220409;226253;220409;175967;163543;175967;163543;1797;1748;1286;1402;174170;161795;174681;162141;52598;59525;53417;57067;63235;60547;45514;52856;14081;8794;16351;10523;19827;18552;21821;20170;;;;;10635;3966;18136;8210;11592;5502;12625;6833;;2669;682;2853;;1093;336;1050;1393;1147;687;923;;;1457;1308;809;;418;;;;1837;;;;;;;;;;;;;;;;77;62;;;;;;;;;;;;;;;;;;;;;;;;;;;372;;;;298;;;;57;;;;264;;;;;;;;;;;;;;;;;;;;;;;;;;;;332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;286;
28;Delmenhorst – Wesermarsch – Oldenburg-Land;3;227696;227719;227696;227719;170194;162698;170194;162698;1966;2059;1375;1911;168228;160639;168819;160787;57390;63832;56526;62620;55326;63256;47622;54848;10262;7273;11567;8814;12933;9784;13525;13059;;;;;15208;5263;17076;8035;15122;5292;16392;6359;;2747;605;2577;;1655;449;1612;1987;1299;1094;1072;;;1498;1390;;;154;;;;1302;;;;;;;;;;;;;;;;46;41;;;;;;;;;;;;;;;;;;;;;;;;;;;235;;;;157;;;;36;;;;308;;;;;;;;;;;;;;;;;;;;;;;;;;;;227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;238;;360;
