(c) Der Bundeswahlleiter (im Auftrag der Herausgebergemeinschaft), Wiesbaden 2018

Ergebnisse der Wahlbezirksstatistik zur Bundestagswahl 2005 (Leitband)

"Wahlkreis";"Land";"Regierungsbezirk";"Kreis";"Verbandsgemeinde";"Gemeinde";"Kennziffer Briefwahlzugehörigkeit";"Name";"Größenklasse"
"003";"01";"0";"51";"5103";"085";"03";"Offenbüttel";"03"
"003";"01";"0";"51";"5103";"086";"03";"Osterrade";"03"
"003";"01";"0";"51";"5103";"099";"03";"Schafstedt";"05"
"003";"01";"0";"51";"5103";"104";"03";"Schrum";"01"
"003";"01";"0";"51";"5103";"126";"03";"Wennbüttel";"01"
"003";"01";"0";"51";"5103";"138";"03";"Tensbüttel-Röst";"04"
"003";"01";"0";"51";"5103";"999";"03";"BW GV Albersdorf";"99"
"002";"01";"0";"51";"5109";"013";"09";"Büsum";"07"
"002";"01";"0";"51";"5109";"014";"09";"Büsumer Deichhausen";"03"
"002";"01";"0";"51";"5109";"043";"09";"Hedwigenkoog";"03"
"002";"01";"0";"51";"5109";"084";"09";"Oesterdeichstrich";"03"
"002";"01";"0";"51";"5109";"121";"09";"Warwerort";"03"
"002";"01";"0";"51";"5109";"132";"09";"Westerdeichstrich";"04"
"002";"01";"0";"51";"5109";"999";"09";"BW GV Büsum";"99"
"003";"01";"0";"51";"5112";"010";"12";"Brickeln";"03"
"003";"01";"0";"51";"5112";"012";"12";"Buchholz";"05"
"003";"01";"0";"51";"5112";"016";"12";"Burg (Dithmarschen)";"07"
"003";"01";"0";"51";"5112";"026";"12";"Eggstedt";"04"
"003";"01";"0";"51";"5112";"032";"12";"Frestedt";"03"
"003";"01";"0";"51";"5112";"037";"12";"Großenrade";"04"
"003";"01";"0";"51";"5112";"051";"12";"Hochdonn";"05"
"003";"01";"0";"51";"5112";"064";"12";"Kuden";"04"
"003";"01";"0";"51";"5112";"089";"12";"Quickborn";"03"
"003";"01";"0";"51";"5112";"110";"12";"Süderhastedt";"04"
"003";"01";"0";"51";"5112";"999";"12";"BW GV Burg-Süderhastedt";"99"
"003";"01";"0";"51";"5115";"003";"15";"Averlak";"04"
"003";"01";"0";"51";"5115";"022";"15";"Dingen";"04"
"003";"01";"0";"51";"5115";"024";"15";"Eddelak";"05"
"003";"01";"0";"51";"5115";"097";"15";"Sankt Michaelisdonn";"07"
"003";"01";"0";"51";"5115";"999";"15";"BW GV Eddelak-Sankt Michaelisdonn";"99"
"002";"01";"0";"51";"5119";"048";"19";"Hemmingstedt";"07"
"002";"01";"0";"51";"5119";"067";"19";"Lieth";"03"
"002";"01";"0";"51";"5119";"069";"19";"Lohe-Rickelshof";"05"
"002";"01";"0";"51";"5119";"082";"19";"Nordhastedt";"06"
"002";"01";"0";"51";"5119";"113";"19";"Wöhrden";"05"
"002";"01";"0";"51";"5119";"999";"19";"BW GV Heide-Land";"99"
"002";"01";"0";"51";"5127";"005";"27";"Barkenholm";"02"
"002";"01";"0";"51";"5127";"008";"27";"Bergewöhrden";"01"
"002";"01";"0";"51";"5127";"020";"27";"Delve";"04"
"002";"01";"0";"51";"5127";"030";"27";"Fedderingen";"03"
"002";"01";"0";"51";"5127";"036";"27";"Glüsing";"02"
"002";"01";"0";"51";"5127";"040";"27";"Hägen";"01"
"002";"01";"0";"51";"5127";"049";"27";"Hennstedt";"05"
"002";"01";"0";"51";"5127";"053";"27";"Hollingstedt";"03"
"002";"01";"0";"51";"5127";"060";"27";"Kleve";"03"
"002";"01";"0";"51";"5127";"068";"27";"Linden";"04"
"002";"01";"0";"51";"5127";"080";"27";"Norderheistedt";"02"
"002";"01";"0";"51";"5127";"102";"27";"Schlichting";"03"
"002";"01";"0";"51";"5127";"111";"27";"Süderheistedt";"04"
"002";"01";"0";"51";"5127";"133";"27";"Wiemerstedt";"02"
"002";"01";"0";"51";"5127";"999";"27";"BW GV Hennstedt";"99"
"002";"01";"0";"51";"5133";"038";"33";"Groven";"02"
"002";"01";"0";"51";"5133";"047";"33";"Hemme";"04"
"002";"01";"0";"51";"5133";"058";"33";"Karolinenkoog";"02"
"002";"01";"0";"51";"5133";"061";"33";"Krempel";"04"
"002";"01";"0";"51";"5133";"065";"33";"Lehe";"05"
"002";"01";"0";"51";"5133";"071";"33";"Lunden";"05"
"002";"01";"0";"51";"5133";"092";"33";"Rehm-Flehde-Bargen";"04"
"002";"01";"0";"51";"5133";"096";"33";"Sankt Annen";"03"
"002";"01";"0";"51";"5133";"999";"33";"BW GV Lunden";"99"
"003";"01";"0";"51";"5136";"021";"36";"Diekhusen-Fahrstedt";"04"
"003";"01";"0";"51";"5136";"046";"36";"Helse";"04"
"003";"01";"0";"51";"5136";"057";"36";"Kaiser-Wilhelm-Koog";"03"
"003";"01";"0";"51";"5136";"062";"36";"Kronprinzenkoog";"04"
"003";"01";"0";"51";"5136";"073";"36";"Marnerdeich";"03"
"003";"01";"0";"51";"5136";"076";"36";"Neufeld";"04"
"003";"01";"0";"51";"5136";"077";"36";"Neufelderkoog";"02"
"003";"01";"0";"51";"5136";"090";"36";"Ramhusen";"02"
"003";"01";"0";"51";"5136";"103";"36";"Schmedeswurth";"03"
"003";"01";"0";"51";"5136";"118";"36";"Trennewurth";"03"
"003";"01";"0";"51";"5136";"119";"36";"Volsemenhusen";"03"
"003";"01";"0";"51";"5136";"999";"36";"BW GV Marne-Land";"99"
"003";"01";"0";"51";"5142";"004";"42";"Bargenstedt";"04"
"003";"01";"0";"51";"5142";"006";"42";"Barlt";"04"
"003";"01";"0";"51";"5142";"017";"42";"Busenwurth";"03"
"003";"01";"0";"51";"5142";"027";"42";"Elpersbüttel";"04"
"003";"01";"0";"51";"5142";"028";"42";"Epenwöhrden";"04"
"003";"01";"0";"51";"5142";"039";"42";"Gudendorf";"03"
"003";"01";"0";"51";"5142";"063";"42";"Krumstedt";"04"
"003";"01";"0";"51";"5142";"078";"42";"Nindorf";"05"
"003";"01";"0";"51";"5142";"083";"42";"Odderade";"03"
"003";"01";"0";"51";"5142";"098";"42";"Sarzbüttel";"04"
"003";"01";"0";"51";"5142";"134";"42";"Windbergen";"04"
"003";"01";"0";"51";"5142";"135";"42";"Wolmersdorf";"03"
"003";"01";"0";"51";"5142";"137";"42";"Nordermeldorf";"04"
"003";"01";"0";"51";"5142";"999";"42";"BW GV Meldorf-Land";"99"
"002";"01";"0";"51";"5151";"019";"51";"Dellstedt";"04"
"002";"01";"0";"51";"5151";"023";"51";"Dörpling";"04"
"002";"01";"0";"51";"5151";"035";"51";"Gaushorn";"03"
"002";"01";"0";"51";"5151";"052";"51";"Hövede";"01"
"002";"01";"0";"51";"5151";"088";"51";"Pahlen";"05"
"002";"01";"0";"51";"5151";"100";"51";"Schalkholz";"04"
"002";"01";"0";"51";"5151";"114";"51";"Tellingstedt";"06"
"002";"01";"0";"51";"5151";"117";"51";"Tielenhemme";"02"
"002";"01";"0";"51";"5151";"120";"51";"Wallen";"01"
"002";"01";"0";"51";"5151";"125";"51";"Welmbüttel";"03"
"002";"01";"0";"51";"5151";"131";"51";"Westerborstel";"01"
"002";"01";"0";"51";"5151";"136";"51";"Wrohm";"04"
"002";"01";"0";"51";"5151";"139";"51";"Süderdorf";"03"
"002";"01";"0";"51";"5151";"999";"51";"BW GV Tellingstedt";"99"
"002";"01";"0";"51";"5154";"075";"54";"Neuenkirchen";"05"
"002";"01";"0";"51";"5154";"087";"54";"Ostrohe";"04"
"002";"01";"0";"51";"5154";"107";"54";"Stelle-Wittenwurth";"03"
"002";"01";"0";"51";"5154";"122";"54";"Weddingstedt";"06"
"002";"01";"0";"51";"5154";"130";"54";"Wesseln";"05"
"002";"01";"0";"51";"5154";"999";"54";"BW GV Weddingstedt";"99"
"002";"01";"0";"51";"5157";"033";"57";"Friedrichsgabekoog";"01"
"002";"01";"0";"51";"5157";"045";"57";"Hellschen-Heringsand-Unterschaar";"02"
"002";"01";"0";"51";"5157";"050";"57";"Hillgroven";"01"
"002";"01";"0";"51";"5157";"079";"57";"Norddeich";"03"
"002";"01";"0";"51";"5157";"081";"57";"Norderwöhrden";"03"
"002";"01";"0";"51";"5157";"093";"57";"Reinsbüttel";"03"
"002";"01";"0";"51";"5157";"105";"57";"Schülp";"03"
"002";"01";"0";"51";"5157";"108";"57";"Strübbel";"01"
"002";"01";"0";"51";"5157";"109";"57";"Süderdeich";"04"
"002";"01";"0";"51";"5157";"128";"57";"Wesselburener Deichhausen";"02"
"002";"01";"0";"51";"5157";"129";"57";"Wesselburenerkoog";"02"
"002";"01";"0";"51";"5157";"140";"57";"Oesterwurth";"03"
"002";"01";"0";"51";"5157";"999";"57";"BW GV Wesselburen";"99"
"010";"01";"0";"53";"0000";"032";"00";"Geesthacht, Stadt";"10"
"010";"01";"0";"53";"0000";"083";"00";"Lauenburg/ Elbe, Stadt";"09"
"010";"01";"0";"53";"0000";"090";"00";"Mölln, Stadt";"09"
"010";"01";"0";"53";"0000";"100";"00";"Ratzeburg, Stadt";"09"
"010";"01";"0";"53";"0000";"116";"00";"Schwarzenbek, Stadt";"09"
"010";"01";"0";"53";"0000";"129";"00";"Wentorf bei Hamburg";"09"
"010";"01";"0";"53";"5303";"003";"03";"Aumühle";"07"
"010";"01";"0";"53";"5303";"133";"03";"Wohltorf";"06"
"010";"01";"0";"53";"5303";"999";"03";"BW GV Aumühle-Wohltorf";"99"
"011";"01";"0";"53";"5308";"008";"08";"Behlendorf";"03"
"011";"01";"0";"53";"5308";"009";"08";"Berkenthin";"05"
"011";"01";"0";"53";"5308";"011";"08";"Bliestorf";"04"
"011";"01";"0";"53";"5308";"024";"08";"Düchelsdorf";"02"
"011";"01";"0";"53";"5308";"034";"08";"Göldenitz";"03"
"011";"01";"0";"53";"5308";"061";"08";"Kastorf";"05"
"011";"01";"0";"53";"5308";"067";"08";"Klempau";"04"
"011";"01";"0";"53";"5308";"075";"08";"Krummesse";"05"
"011";"01";"0";"53";"5308";"094";"08";"Niendorf bei Berkenthin";"02"
"011";"01";"0";"53";"5308";"103";"08";"Rondeshagen";"04"
"011";"01";"0";"53";"5308";"120";"08";"Sierksrade";"03"
"011";"01";"0";"53";"5308";"999";"08";"BW GV Berkenthin";"99"
"010";"01";"0";"53";"5313";"002";"13";"Alt Mölln";"04"
"010";"01";"0";"53";"5313";"005";"13";"Bälau";"03"
"010";"01";"0";"53";"5313";"013";"13";"Borstorf";"03"
"010";"01";"0";"53";"5313";"014";"13";"Breitenfelde";"05"
"010";"01";"0";"53";"5313";"056";"13";"Hornbek";"02"
"010";"01";"0";"53";"5313";"095";"13";"Niendorf/ Stecknitz";"04"
"010";"01";"0";"53";"5313";"113";"13";"Schretstaken";"04"
"010";"01";"0";"53";"5313";"125";"13";"Talkau";"04"
"010";"01";"0";"53";"5313";"126";"13";"Tramm";"03"
"010";"01";"0";"53";"5313";"134";"13";"Woltersdorf";"03"
"010";"01";"0";"53";"5313";"999";"13";"BW GV Breitenfelde";"99"
"010";"01";"0";"53";"5318";"015";"18";"Bröthen";"03"
"010";"01";"0";"53";"5318";"020";"18";"Büchen";"08"
"010";"01";"0";"53";"5318";"029";"18";"Fitzen";"03"
"010";"01";"0";"53";"5318";"048";"18";"Güster";"05"
"010";"01";"0";"53";"5318";"064";"18";"Klein Pampau";"04"
"010";"01";"0";"53";"5318";"092";"18";"Müssen";"04"
"010";"01";"0";"53";"5318";"104";"18";"Roseburg";"03"
"010";"01";"0";"53";"5318";"115";"18";"Schulendorf";"03"
"010";"01";"0";"53";"5318";"119";"18";"Siebeneichen";"03"
"010";"01";"0";"53";"5318";"132";"18";"Witzeeze";"04"
"010";"01";"0";"53";"5318";"999";"18";"BW GV Büchen";"99"
"010";"01";"0";"53";"5323";"012";"23";"Börnsen";"07"
"010";"01";"0";"53";"5323";"023";"23";"Dassendorf";"07"
"010";"01";"0";"53";"5323";"028";"23";"Escheburg";"06"
"010";"01";"0";"53";"5323";"050";"23";"Hamwarde";"04"
"010";"01";"0";"53";"5323";"053";"23";"Hohenhorn";"03"
"010";"01";"0";"53";"5323";"072";"23";"Kröppelshagen-Fahrendorf";"05"
"010";"01";"0";"53";"5323";"131";"23";"Wiershop";"02"
"010";"01";"0";"53";"5323";"135";"23";"Worth";"02"
"010";"01";"0";"53";"5323";"999";"23";"BW GV Hohe Elbgeest";"99"
"010";"01";"0";"53";"5333";"010";"33";"Besenthal";"01"
"010";"01";"0";"53";"5333";"016";"33";"Brunsmark";"02"
"010";"01";"0";"53";"5333";"035";"33";"Göttin";"01"
"010";"01";"0";"53";"5333";"037";"33";"Grambek";"03"
"010";"01";"0";"53";"5333";"046";"33";"Gudow";"05"
"010";"01";"0";"53";"5333";"054";"33";"Hollenbek";"03"
"010";"01";"0";"53";"5333";"057";"33";"Horst";"03"
"010";"01";"0";"53";"5333";"066";"33";"Klein Zecher";"03"
"010";"01";"0";"53";"5333";"080";"33";"Langenlehsten";"02"
"010";"01";"0";"53";"5333";"084";"33";"Lehmrade";"03"
"010";"01";"0";"53";"5333";"107";"33";"Salem";"04"
"010";"01";"0";"53";"5333";"117";"33";"Seedorf";"04"
"010";"01";"0";"53";"5333";"123";"33";"Sterley";"04"
"010";"01";"0";"53";"5333";"999";"33";"BW GV Gudow-Sterley";"99"
"010";"01";"0";"53";"5343";"006";"43";"Basedow";"04"
"010";"01";"0";"53";"5343";"019";"43";"Buchhorst";"02"
"010";"01";"0";"53";"5343";"022";"43";"Dalldorf";"03"
"010";"01";"0";"53";"5343";"058";"43";"Juliusburg";"02"
"010";"01";"0";"53";"5343";"073";"43";"Krüzen";"03"
"010";"01";"0";"53";"5343";"074";"43";"Krukow";"03"
"010";"01";"0";"53";"5343";"082";"43";"Lanze";"03"
"010";"01";"0";"53";"5343";"087";"43";"Lütau";"04"
"010";"01";"0";"53";"5343";"111";"43";"Schnakenbek";"04"
"010";"01";"0";"53";"5343";"128";"43";"Wangelau";"03"
"010";"01";"0";"53";"5343";"999";"43";"BW GV Lütau";"99"
"010";"01";"0";"53";"5353";"025";"53";"Duvensee";"04"
"010";"01";"0";"53";"5353";"069";"53";"Koberg";"04"
"010";"01";"0";"53";"5353";"077";"53";"Kühsen";"03"
"010";"01";"0";"53";"5353";"081";"53";"Lankau";"03"
"010";"01";"0";"53";"5353";"096";"53";"Nusse";"05"
"010";"01";"0";"53";"5353";"097";"53";"Panten";"04"
"010";"01";"0";"53";"5353";"099";"53";"Poggensee";"03"
"010";"01";"0";"53";"5353";"101";"53";"Ritzerau";"03"
"010";"01";"0";"53";"5353";"127";"53";"Walksfelde";"03"
"010";"01";"0";"53";"5353";"999";"53";"BW GV Nusse";"99"
"010";"01";"0";"53";"5358";"001";"58";"Albsfelde";"01"
"010";"01";"0";"53";"5358";"004";"58";"Bäk";"04"
"010";"01";"0";"53";"5358";"018";"58";"Buchholz";"03"
"010";"01";"0";"53";"5358";"026";"58";"Einhaus";"03"
"010";"01";"0";"53";"5358";"030";"58";"Fredeburg";"01"
"010";"01";"0";"53";"5358";"033";"58";"Giesensdorf";"01"
"010";"01";"0";"53";"5358";"040";"58";"Groß Disnack";"01"
"010";"01";"0";"53";"5358";"041";"58";"Groß Grönau";"07"
"010";"01";"0";"53";"5358";"043";"58";"Groß Sarau";"04"
"010";"01";"0";"53";"5358";"051";"58";"Harmsdorf";"03"
"010";"01";"0";"53";"5358";"062";"58";"Kittlitz";"03"
"010";"01";"0";"53";"5358";"078";"58";"Kulpin";"03"
"010";"01";"0";"53";"5358";"088";"58";"Mechow";"01"
"010";"01";"0";"53";"5358";"093";"58";"Mustin";"04"
"010";"01";"0";"53";"5358";"098";"58";"Pogeez";"03"
"010";"01";"0";"53";"5358";"102";"58";"Römnitz";"01"
"010";"01";"0";"53";"5358";"110";"58";"Schmilau";"04"
"010";"01";"0";"53";"5358";"136";"58";"Ziethen";"04"
"010";"01";"0";"53";"5358";"999";"58";"BW GV Ratzeburg-Land";"99"
"011";"01";"0";"53";"5368";"038";"68";"Grinau";"03"
"011";"01";"0";"53";"5368";"039";"68";"Groß Boden";"03"
"011";"01";"0";"53";"5368";"044";"68";"Groß Schenkenberg";"04"
"011";"01";"0";"53";"5368";"068";"68";"Klinkrade";"04"
"011";"01";"0";"53";"5368";"079";"68";"Labenz";"04"
"011";"01";"0";"53";"5368";"085";"68";"Linau";"05"
"011";"01";"0";"53";"5368";"086";"68";"Lüchow";"03"
"011";"01";"0";"53";"5368";"108";"68";"Sandesneben";"05"
"011";"01";"0";"53";"5368";"109";"68";"Schiphorst";"04"
"011";"01";"0";"53";"5368";"112";"68";"Schönberg";"05"
"011";"01";"0";"53";"5368";"114";"68";"Schürensöhlen";"02"
"011";"01";"0";"53";"5368";"118";"68";"Siebenbäumen";"04"
"011";"01";"0";"53";"5368";"121";"68";"Sirksfelde";"03"
"011";"01";"0";"53";"5368";"122";"68";"Steinhorst";"04"
"011";"01";"0";"53";"5368";"124";"68";"Stubben";"03"
"011";"01";"0";"53";"5368";"130";"68";"Wentorf (Amt Sandesneben)";"04"
"011";"01";"0";"53";"5368";"999";"68";"BW GV Sandesneben";"99"
"010";"01";"0";"53";"5373";"007";"73";"Basthorst";"03"
"010";"01";"0";"53";"5373";"017";"73";"Brunstorf";"04"
"010";"01";"0";"53";"5373";"021";"73";"Dahmker";"02"
"010";"01";"0";"53";"5373";"027";"73";"Elmenhorst";"04"
"010";"01";"0";"53";"5373";"031";"73";"Fuhlenhagen";"03"
"010";"01";"0";"53";"5373";"036";"73";"Grabau";"03"
"010";"01";"0";"53";"5373";"042";"73";"Groß Pampau";"02"
"010";"01";"0";"53";"5373";"045";"73";"Grove";"03"
"010";"01";"0";"53";"5373";"047";"73";"Gülzow";"05"
"010";"01";"0";"53";"5373";"049";"73";"Hamfelde";"03"
"010";"01";"0";"53";"5373";"052";"73";"Havekost";"02"
"010";"01";"0";"53";"5373";"059";"73";"Kankelau";"03"
"010";"01";"0";"53";"5373";"060";"73";"Kasseburg";"04"
"010";"01";"0";"53";"5373";"070";"73";"Köthel";"03"
"010";"01";"0";"53";"5373";"071";"73";"Kollow";"04"
"010";"01";"0";"53";"5373";"076";"73";"Kuddewörde";"05"
"010";"01";"0";"53";"5373";"089";"73";"Möhnsen";"04"
"010";"01";"0";"53";"5373";"091";"73";"Mühlenrade";"03"
"010";"01";"0";"53";"5373";"106";"73";"Sahms";"03"
"010";"01";"0";"53";"5373";"999";"73";"BW GV Schwarzenbek-Land";"99"
"002";"01";"0";"54";"0000";"036";"00";"Garding, Stadt";"06"
"002";"01";"0";"54";"0000";"056";"00";"Husum, Stadt";"10"
"002";"01";"0";"54";"0000";"076";"00";"Leck";"08"
"002";"01";"0";"54";"0000";"088";"00";"Niebüll, Stadt";"08"
"002";"01";"0";"54";"0000";"113";"00";"Sankt Peter-Ording";"07"
"002";"01";"0";"54";"0000";"138";"00";"Tönning, Stadt";"08"
"002";"01";"0";"54";"0000";"151";"00";"Westerland, Stadt";"08"
"002";"01";"0";"54";"0000";"164";"00";"Wyk auf Föhr, Stadt";"07"
"002";"01";"0";"54";"5403";"085";"03";"Nebel";"04"
"002";"01";"0";"54";"5403";"089";"03";"Norddorf";"04"
"002";"01";"0";"54";"5403";"160";"03";"Wittdün";"04"
"002";"01";"0";"54";"5403";"999";"03";"BW GV Amrum";"99"
"002";"01";"0";"54";"5405";"022";"05";"Dagebüll";"04"
"002";"01";"0";"54";"5405";"109";"05";"Risum-Lindholm";"07"
"002";"01";"0";"54";"5405";"126";"05";"Stedesand";"04"
"002";"01";"0";"54";"5405";"165";"05";"Galmsbüll";"04"
"002";"01";"0";"54";"5405";"999";"05";"BW GV Bökingharde";"99"
"002";"01";"0";"54";"5411";"002";"11";"Ahrenshöft";"04"
"002";"01";"0";"54";"5411";"006";"11";"Almdorf";"04"
"002";"01";"0";"54";"5411";"012";"11";"Bohmstedt";"04"
"002";"01";"0";"54";"5411";"020";"11";"Breklum";"06"
"002";"01";"0";"54";"5411";"024";"11";"Drelsdorf";"05"
"002";"01";"0";"54";"5411";"037";"11";"Goldebek";"03"
"002";"01";"0";"54";"5411";"038";"11";"Goldelund";"03"
"002";"01";"0";"54";"5411";"045";"11";"Högel";"03"
"002";"01";"0";"54";"5411";"059";"11";"Joldelund";"04"
"002";"01";"0";"54";"5411";"071";"11";"Kolkerheide";"01"
"002";"01";"0";"54";"5411";"080";"11";"Lütjenholm";"03"
"002";"01";"0";"54";"5411";"121";"11";"Sönnebüll";"03"
"002";"01";"0";"54";"5411";"128";"11";"Struckum";"04"
"002";"01";"0";"54";"5411";"146";"11";"Vollstedt";"02"
"002";"01";"0";"54";"5411";"999";"11";"BW GV Bredstedt-Land";"99"
"002";"01";"0";"54";"5417";"035";"17";"Garding, Kirchspiel";"03"
"002";"01";"0";"54";"5417";"040";"17";"Grothusenkoog";"01"
"002";"01";"0";"54";"5417";"063";"17";"Katharinenheerd";"02"
"002";"01";"0";"54";"5417";"072";"17";"Kotzenbüll";"03"
"002";"01";"0";"54";"5417";"090";"17";"Norderfriedrichskoog";"01"
"002";"01";"0";"54";"5417";"095";"17";"Oldenswort";"05"
"002";"01";"0";"54";"5417";"100";"17";"Osterhever";"03"
"002";"01";"0";"54";"5417";"104";"17";"Poppenbüll";"03"
"002";"01";"0";"54";"5417";"134";"17";"Tating";"04"
"002";"01";"0";"54";"5417";"135";"17";"Tetenbüll";"04"
"002";"01";"0";"54";"5417";"140";"17";"Tümlauer Koog";"02"
"002";"01";"0";"54";"5417";"145";"17";"Vollerwiek";"03"
"002";"01";"0";"54";"5417";"148";"17";"Welt";"03"
"002";"01";"0";"54";"5417";"150";"17";"Westerhever";"02"
"002";"01";"0";"54";"5417";"999";"17";"BW GV Eiderstedt";"99"
"002";"01";"0";"54";"5419";"005";"19";"Alkersum";"03"
"002";"01";"0";"54";"5419";"015";"19";"Borgsum";"03"
"002";"01";"0";"54";"5419";"025";"19";"Dunsum";"01"
"002";"01";"0";"54";"5419";"083";"19";"Midlum";"03"
"002";"01";"0";"54";"5419";"087";"19";"Nieblum";"04"
"002";"01";"0";"54";"5419";"094";"19";"Oevenum";"04"
"002";"01";"0";"54";"5419";"098";"19";"Oldsum";"04"
"002";"01";"0";"54";"5419";"129";"19";"Süderende";"02"
"002";"01";"0";"54";"5419";"143";"19";"Utersum";"03"
"002";"01";"0";"54";"5419";"158";"19";"Witsum";"01"
"002";"01";"0";"54";"5419";"163";"19";"Wrixum";"04"
"002";"01";"0";"54";"5419";"999";"19";"BW GV Föhr-Land";"99"
"002";"01";"0";"54";"5420";"023";"20";"Drage";"04"
